SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC30001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,4,0,3,7,3,0,0,16
SSC30002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC30003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,6,5,0,3,9,13,4,3,0,0,32
SSC30004,0,4,0,4,10,8,4,3,0,31,0,0,3,0,4,5,0,0,0,15,0,0,0,0,4,3,0,0,0,9,0,0,3,0,6,3,3,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,11,0,0,0,3,3,0,3,0,22,76,10,21,29,56,56,35,33,9,324
SSC30005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC30006,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,3,0,0,12,12,11,3,0,51
SSC30007,0,36,137,99,89,63,20,3,0,443,0,10,86,94,54,46,9,0,0,298,0,3,57,55,41,13,5,4,0,177,0,4,31,30,17,12,0,0,0,96,0,0,30,19,23,10,3,0,0,87,0,0,4,9,12,0,0,0,0,23,67,52,107,76,87,77,92,62,41,659,476,602,1257,934,900,726,575,342,135,5949
SSC30008,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,3,0,3,11,0,3,0,0,25
SSC30009,0,3,13,13,22,12,3,0,0,62,0,0,4,4,9,5,0,0,0,25,0,0,16,10,6,0,0,0,0,35,0,0,3,0,4,4,0,0,0,15,0,0,3,9,3,0,0,0,0,15,0,0,0,0,3,0,0,0,0,10,18,3,8,14,19,6,11,3,0,88,73,49,112,127,126,96,72,18,3,678
SSC30010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,3,4,6,9,21,10,13,4,3,77
SSC30011,0,0,3,3,7,4,7,0,0,24,0,0,3,3,10,7,0,0,0,18,0,0,0,0,3,3,0,0,0,10,0,0,0,4,4,0,0,0,0,14,0,0,3,3,3,4,0,0,0,13,0,0,0,3,5,3,0,0,0,9,3,0,3,9,5,7,6,3,0,38,27,10,31,62,66,59,60,8,0,328
SSC30012,0,0,5,11,4,12,5,0,0,35,0,0,4,3,9,10,3,0,0,33,0,0,11,11,10,0,3,0,0,33,0,0,3,5,3,0,0,0,0,10,0,0,0,7,3,3,0,0,0,17,0,0,3,4,7,3,0,0,0,18,3,0,9,5,3,7,6,0,0,29,19,15,57,65,81,70,64,15,6,382
SSC30013,0,0,3,4,9,6,3,0,0,30,0,0,3,0,11,3,3,0,0,23,0,0,3,10,10,4,0,0,0,25,0,0,0,0,3,10,0,0,0,8,0,0,0,6,8,3,0,0,0,17,0,0,0,4,3,0,0,0,0,5,0,6,6,5,12,3,5,3,0,39,26,18,43,63,67,54,34,15,0,315
SSC30014,0,4,17,18,27,15,5,3,0,91,0,4,15,17,18,21,7,0,0,73,0,0,4,13,24,14,3,0,0,55,0,0,7,7,8,10,3,0,0,41,0,0,10,13,22,9,5,0,0,59,0,0,0,9,19,6,0,0,0,45,27,5,27,35,68,44,26,8,0,240,120,63,189,293,414,391,264,55,6,1801
SSC30015,0,0,3,9,3,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,3,3,8,24,19,10,7,3,0,76
SSC30016,0,11,52,24,20,20,0,0,0,131,0,6,12,7,12,19,3,0,0,59,0,5,8,5,13,9,3,0,0,52,0,0,6,7,7,11,3,0,0,34,0,0,13,7,3,9,7,0,0,35,0,0,4,10,3,9,5,0,0,39,8,38,74,36,23,35,24,5,0,249,45,157,330,155,144,189,94,24,6,1149
SSC30017,0,3,4,5,5,3,0,0,0,25,0,3,0,0,3,8,0,3,0,19,0,0,3,4,4,5,0,0,0,20,0,0,0,3,4,4,4,0,0,11,0,0,3,0,3,3,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,4,0,7,4,3,0,0,22,19,23,36,32,62,60,29,9,6,283
