"","SSC_NAME_2016","median_income_bin","gender"
"1","Dawes Point","P_2000_2999_Tot","P"
"2","Barangaroo","P_1500_1749_Tot","P"
"3","Birchgrove","P_1500_1749_Tot","P"
"4","Darling Point","P_1500_1749_Tot","P"
"5","Kurraba Point","P_1500_1749_Tot","P"
"6","Millers Point","P_1500_1749_Tot","P"
"7","Milsons Point","P_1500_1749_Tot","P"
"8","Point Piper","P_1500_1749_Tot","P"
"9","The Rocks (Sydney - NSW)","P_1500_1749_Tot","P"
"10","Alexandria","P_1250_1499_Tot","P"
"11","Balmain","P_1250_1499_Tot","P"
"12","Balmain East","P_1250_1499_Tot","P"
"13","Bellevue Hill","P_1250_1499_Tot","P"
"14","Bilgola Beach","P_1250_1499_Tot","P"
"15","Bronte","P_1250_1499_Tot","P"
"16","Cammeray","P_1250_1499_Tot","P"
"17","Castlecrag","P_1250_1499_Tot","P"
"18","Centennial Park (NSW)","P_1250_1499_Tot","P"
"19","Chiswick","P_1250_1499_Tot","P"
"20","Clovelly","P_1250_1499_Tot","P"
"21","Coogee (NSW)","P_1250_1499_Tot","P"
"22","Cottage Point","P_1250_1499_Tot","P"
"23","Cremorne (NSW)","P_1250_1499_Tot","P"
"24","Cremorne Point","P_1250_1499_Tot","P"
"25","Crows Nest (NSW)","P_1250_1499_Tot","P"
"26","Darlinghurst","P_1250_1499_Tot","P"
"27","Double Bay","P_1250_1499_Tot","P"
"28","Edgecliff","P_1250_1499_Tot","P"
"29","Elizabeth Bay","P_1250_1499_Tot","P"
"30","Erskineville","P_1250_1499_Tot","P"
"31","Fairlight","P_1250_1499_Tot","P"
"32","Kirribilli","P_1250_1499_Tot","P"
"33","Lake George","P_1250_1499_Tot","P"
"34","Lavender Bay","P_1250_1499_Tot","P"
"35","Linley Point","P_1250_1499_Tot","P"
"36","Longueville","P_1250_1499_Tot","P"
"37","Manly (NSW)","P_1250_1499_Tot","P"
"38","McMahons Point","P_1250_1499_Tot","P"
"39","Mosman","P_1250_1499_Tot","P"
"40","Naremburn","P_1250_1499_Tot","P"
"41","Neutral Bay","P_1250_1499_Tot","P"
"42","North Sydney","P_1250_1499_Tot","P"
"43","Northwood (NSW)","P_1250_1499_Tot","P"
"44","Paddington (NSW)","P_1250_1499_Tot","P"
"45","Potts Point","P_1250_1499_Tot","P"
"46","Queenscliff (NSW)","P_1250_1499_Tot","P"
"47","Rozelle","P_1250_1499_Tot","P"
"48","St Leonards (NSW)","P_1250_1499_Tot","P"
"49","Tamarama","P_1250_1499_Tot","P"
"50","Waverton","P_1250_1499_Tot","P"
"51","Wollstonecraft","P_1250_1499_Tot","P"
"52","Woollahra","P_1250_1499_Tot","P"
"53","Woolwich","P_1250_1499_Tot","P"
"54","Annandale (NSW)","P_1000_1249_Tot","P"
"55","Artarmon","P_1000_1249_Tot","P"
"56","Balgowlah","P_1000_1249_Tot","P"
"57","Balgowlah Heights","P_1000_1249_Tot","P"
"58","Bango","P_1000_1249_Tot","P"
"59","Barwang","P_1000_1249_Tot","P"
"60","Beaconsfield (NSW)","P_1000_1249_Tot","P"
"61","Beggan Beggan","P_1000_1249_Tot","P"
"62","Bondi","P_1000_1249_Tot","P"
"63","Bondi Beach","P_1000_1249_Tot","P"
"64","Bondi Junction","P_1000_1249_Tot","P"
"65","Breakfast Point","P_1000_1249_Tot","P"
"66","Bungendore","P_1000_1249_Tot","P"
"67","Burra (Queanbeyan-Palerang Regional - NSW)","P_1000_1249_Tot","P"
"68","Burraneer","P_1000_1249_Tot","P"
"69","Bywong","P_1000_1249_Tot","P"
"70","Cabarita (NSW)","P_1000_1249_Tot","P"
"71","Carwoola","P_1000_1249_Tot","P"
