"","SSC_NAME_2016","median_income_bin","gender"
"1","Curtis Island","P_2000_2999_Tot","P"
"2","Coppabella (Qld)","P_1750_1999_Tot","P"
"3","Hail Creek","P_1750_1999_Tot","P"
"4","Breakaway","P_1500_1749_Tot","P"
"5","Castle Hill (Qld)","P_1250_1499_Tot","P"
"6","Glenden","P_1250_1499_Tot","P"
"7","McKinlay","P_1250_1499_Tot","P"
"8","Middlemount","P_1250_1499_Tot","P"
"9","Newstead (Qld)","P_1250_1499_Tot","P"
"10","Rocky Point (Weipa - Qld)","P_1250_1499_Tot","P"
"11","Teneriffe","P_1250_1499_Tot","P"
"12","Tennyson (Qld)","P_1250_1499_Tot","P"
"13","Tieri","P_1250_1499_Tot","P"
"14","Trunding","P_1250_1499_Tot","P"
"15","Amberley","P_1000_1249_Tot","P"
"16","Ascot (Brisbane - Qld)","P_1000_1249_Tot","P"
"17","Augustine Heights","P_1000_1249_Tot","P"
"18","Balmoral (Qld)","P_1000_1249_Tot","P"
"19","Bardon","P_1000_1249_Tot","P"
"20","Blackwater","P_1000_1249_Tot","P"
"21","Brookwater","P_1000_1249_Tot","P"
"22","Bulimba","P_1000_1249_Tot","P"
"23","Camp Hill","P_1000_1249_Tot","P"
"24","Cassowary","P_1000_1249_Tot","P"
"25","Cloncurry","P_1000_1249_Tot","P"
"26","Comet","P_1000_1249_Tot","P"
"27","Dolphin Heads","P_1000_1249_Tot","P"
"28","Dysart (Qld)","P_1000_1249_Tot","P"
"29","Fig Tree Pocket","P_1000_1249_Tot","P"
"30","Flying Fox (Qld)","P_1000_1249_Tot","P"
"31","Grange (Qld)","P_1000_1249_Tot","P"
"32","Hamilton (Qld)","P_1000_1249_Tot","P"
"33","Hawthorne","P_1000_1249_Tot","P"
"34","Healy","P_1000_1249_Tot","P"
"35","Idalia","P_1000_1249_Tot","P"
"36","Mackay Harbour","P_1000_1249_Tot","P"
"37","May Downs","P_1000_1249_Tot","P"
"38","Mica Creek","P_1000_1249_Tot","P"
"39","Miles End","P_1000_1249_Tot","P"
"40","Moranbah","P_1000_1249_Tot","P"
"41","Mount Archer (Rockhampton - Qld)","P_1000_1249_Tot","P"
"42","Mount Isa City","P_1000_1249_Tot","P"
"43","Murray","P_1000_1249_Tot","P"
"44","Nanum","P_1000_1249_Tot","P"
"45","New Farm","P_1000_1249_Tot","P"
"46","Norman Park","P_1000_1249_Tot","P"
"47","O'Connell (Qld)","P_1000_1249_Tot","P"
"48","Orange Hill","P_1000_1249_Tot","P"
"49","Paddington (Qld)","P_1000_1249_Tot","P"
